id,Tract,Boroughs,Over_18_year,Over_60_year,Median_Household_Income,Percentage_college_degree,Unemployment_rate,Race_White,Race_Black,Race_NativeAmerican,Race_Asian,Race_Other,Schools,Recreational,Criminal_Justice,Health,Pharmacy,Mental_Heath,Disabilities,Daycare,Senior_homes,Homeless_shelters,Transport,Waste_Management,Crime_Rate
36005017902,179.02,Bronx,0.55,0.09,18662.00,0.37,0.19,0.11,0.39,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005018101,181.01,Bronx,0.64,0.12,26713.00,0.44,0.12,0.12,0.55,0.04,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005018102,181.02,Bronx,0.59,0.14,38440.00,0.43,0.12,0.13,0.39,0.00,0.04,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005018301,183.01,Bronx,0.69,0.23,30782.00,0.49,0.17,0.15,0.49,0.00,0.04,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36005018302,183.02,Bronx,0.60,0.10,36181.00,0.52,0.16,0.14,0.27,0.02,0.02,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
36005018400,184,Bronx,0.69,0.22,71897.00,0.30,0.09,0.68,0.05,0.00,0.02,0.26,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005018500,185,Bronx,0.50,0.08,23125.00,0.56,0.20,0.07,0.46,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
36005018900,189,Bronx,0.45,0.12,21588.00,0.39,0.20,0.20,0.28,0.00,0.01,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005019300,193,Bronx,0.49,0.13,17268.00,0.38,0.21,0.15,0.45,0.02,0.00,0.39,4.00,0.00,1.00,1.00,0.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,0.01
36005019400,194,Bronx,0.58,0.12,51642.00,0.66,0.13,0.35,0.11,0.00,0.02,0.52,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00
36005019500,195,Bronx,0.57,0.13,29723.00,0.44,0.16,0.14,0.34,0.00,0.01,0.50,2.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.01
36005019700,197,Bronx,0.42,0.09,25000.00,0.42,0.13,0.13,0.33,0.02,0.07,0.47,3.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.01
36005019900,199,Bronx,0.50,0.13,23665.00,0.44,0.22,0.12,0.34,0.00,0.00,0.54,2.00,0.00,1.00,1.00,1.00,1.00,5.00,3.00,0.00,1.00,0.00,0.00,0.01
36005020000,200,Bronx,0.56,0.09,42595.00,0.46,0.16,0.23,0.07,0.00,0.27,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.01
36005020100,201,Bronx,0.54,0.12,29509.00,0.58,0.12,0.16,0.33,0.00,0.01,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.02
